name111, 100111, 30, 100126
name112, 100112, 30, 100115
name113, 100113, 39, 100126
name114, 100114, 30, 100119
name115, 100115, 34, 100119
name116, 100116, 30, 100144
name117, 100117, 30
name118, 100118, 25, 100117
name119, 100119, 34, 100118
name120, 100120, 30, 100152
name121, 100121, 25, 100144
name122, 100122, 30, 100118
name123, 100123, 30, 100129
name124, 100124, 40, 100115
name125, 100125, 30, 100115
name126, 100126, 36, 100118
name127, 100127, 30, 100122
name128, 100128, 34, 100122
name129, 100129, 30, 100122
name130, 100130, 32, 100115
name131, 100131, 31, 100126
name132, 100132, 30, 100126
name133, 100133, 30, 100126
name134, 100134, 30, 100115
name135, 100135, 30
name136, 100136, 36, 100135
name137, 100137, 30, 100145
name138, 100138, 34, 100152
name139, 100139, 30, 100152
name140, 100140, 30, 100152
name141, 100141, 34, 100136
name142, 100142, 30, 100136
name143, 100143, 30, 100136
name144, 100144, 30, 100142
name145, 100145, 50, 100142
name146, 100146, 30, 100142
name147, 100147, 30, 100142
name148, 100148, 30, 100147
name149, 100149, 55, 100147
name150, 100150, 30, 100145
name151, 100151, 30, 100145
name152, 100152, 27, 100145
name153, 100153, 38, 100129
name154, 100154, 30, 100126
name155, 100155, 30, 100126
name156, 100156, 30, 100126
name157, 100157, 30, 100115
name158, 100158, 30, 100144
name159, 100159, 34, 100144
name160, 100160, 30, 100144
name161, 100161, 30, 100144
